uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw
U0663,B34,AGOSTINI,NAO,A681,OK,,260279,Towner,"Towner, I.S.",1,1997,1987,1987-11,,,"Phys. Rept. 155, 263",Quenching of spin matrix elements in nuclei,342,323,39,8.77,article,"Towner, IS (1997), “Quenching of spin matrix elements in nuclei,” Phys. Rep. 155, 263."
U0618,B31,GONZALEZ-GARCIA,NAO,G028,OK,,260766,A. J. Baltz and J. Weneser,"Baltz, A.J.",2,1988,1988,1988-01,,,"Phys. Rev. D 37, 3364",Matter Oscillations: Neutrino Transformation in the Sun and Regeneration in the Earth,144,135,38,3.79,article,"A. J. Baltz and J. Weneser, Phys. Rev. D37, 3364 (1988)."
U0621,B32,AGOSTINI,NAO,A308,OK,,264300,Engel,"Engel, J.",3,1988,1988,1988,,,"Phys. Rev. C 37, 731-746 (1988)",Nuclear Structure Effects in Double beta Decay,332,294,38,8.74,article,"Engel, J, P. Vogel, and M. R. Zirnbauer (1988), “Nuclear Structure Effects in Double beta Decay,” Phys. Rev. C 37, 731-746."
U0622,B32,GONZALEZ-GARCIA,NAO,G080,OK,,23245,K. S. Hirata et al. (Kamiokande-II),"Hirata, K.S.",,1988,1988,1988,,,"Phys. Lett. B 205, 416 (1988)",Experimental Study of the Atmospheric Neutrino Flux,1040,942,38,27.37,article,"K. S. Hirata et al. (Kamiokande-II), Phys. Lett. B 205, 416 (1988)."
U0624,B32,AGOSTINI,NAO,A698,OK,,261276,Vogel,"Vogel, P.",3,1988,1988,1988-03,,,"Phys. Lett. B 212, 259-263 (1988)",Sum Rules for Two Particle Operators and Double Beta Decay,47,40,38,1.24,article,"Vogel, P, M. Ericson, and J. D. Vergados (1988), “Sum Rules for Two Particle Operators and Double Beta Decay,” Phys. Lett. B 212, 259-263."
U0625,B32,AGOSTINI,NAO,A711,NAO_ENCONTRADO,,,Warburton,"Warburton, E.K.",4,1988,,,,,"Ann. Phys. 187, 471 (1988)",First-forbidden beta decay near a = 40,,,38,,article,"Warburton, E K, J. A. Becker, B. A. Brown, and D. J. Millener (1988), “First-forbidden beta decay near a = 40,” Ann. Phys. 187, 471."
U0631,B32,GONZALEZ-GARCIA,NAO,G083,OK,,260484,M. Aglietta et al. (NUSEX),"Aglietta, M.",,1989,1988,1988-11,,,"Europhys. Lett. 8, 611 (1989)",Experimental study of atmospheric neutrino flux in the NUSEX experiment,492,483,38,12.95,article,"M. Aglietta et al. (NUSEX), Europhys. Lett. 8, 611 (1989)."
U0626,B32,GONZALEZ-GARCIA,NAO,G137,OK,,280774,A. A. Hahn et al.,"Hahn, A.A.",,1989,1989,1989-09-10,,,"Phys. Lett. B218, 365 (1989)",Anti-neutrino Spectra From 241Pu and 239Pu Thermal Neutron Fission Products,466,446,37,12.59,article,"A. A. Hahn et al., Phys. Lett. B218, 365 (1989)."
U0627,B32,AGOSTINI,NAO,A107,NAO_ENCONTRADO,,,Auerbach,"Auerbach, N.",3,1989,,,,,"Annals Phys. 192, 77 (1989)",,,,37,,article,"Auerbach, N, L. Zamick, and D. C. Zheng (1989), Annals Phys. 192, 77."
U0629,B32,GONZALEZ-GARCIA,NAO,G001,OK,,286838,J. N. Bahcall,"Bahcall, J.N.",1,1989,1989,1989,,,,NEUTRINO ASTROPHYSICS,136,134,37,3.68,book,"J. N. Bahcall, NEUTRINO ASTROPHYSICS (1989), ISBN 9780521379755."
U0630,B32,GONZALEZ-GARCIA,NAO,G051,OK,,277623,K. S. Hirata et al. (Kamiokande-II),"Hirata, K.S.",,1989,1989,1989-04,,,"Phys. Rev. Lett. 63, 16 (1989)",Observation of B-8 Solar Neutrinos in the Kamiokande-II Detector,755,696,37,20.41,article,"K. S. Hirata et al. (Kamiokande-II), Phys. Rev. Lett. 63, 16 (1989)."
U0632,B32,GONZALEZ-GARCIA,NAO,G034,OK,,277132,T.-K. Kuo and J. T. Pantaleone,"Kuo, T.K.",2,1989,1989,1989-03,,,"Rev. Mod. Phys. 61, 937 (1989)",Neutrino Oscillations in Matter,707,668,37,19.11,article,"T.-K. Kuo and J. T. Pantaleone, Rev. Mod. Phys. 61, 937 (1989)."
U0635,B32,AGOSTINI,NAO,A258,OK,,284411,Decamp,"Decamp, D.",,1990,1989,1989-12,,,"Phys.Lett.B 235, 399-411 (1990)",A Precise Determination of the Number of Families With Light Neutrinos and of the Z Boson Partial Widths,293,257,37,7.92,article,"Decamp, D, et al. (ALEPH) (1990), “A precise determination of the number of families with light neutrinos and of the z boson partial widths,” Phys.Lett.B 235, 399-411."
U0637,B32,AGOSTINI,NAO,A688,OK,,288822,Vasenko,"Vasenko, A.A.",10,1990,1989,1989,,,"Mod. Phys. Lett. A 5, 1299-1306 (1990)",New Results in the Itep / Yepi Double Beta Decay Experiment With Enriched Germanium Detector,111,101,37,3.0,article,"Vasenko, A A, I. V. Kirpichnikov, V. A. Kuznetsov, A. S. Starostin, A. G. Dzhanian, G. E. Markosian, V. M. Oganesian, V. S. Pogosov, A. G. Tamanian, and S. R. Shakhazizian (1990), “New Results in the Itep / Yepi Double Beta Decay Experiment With Enriched Germanium Detector,” Mod. Phys. Lett. A 5, 1299-1306."
U0633,B32,AGOSTINI,NAO,A186,OK,,312857,Brodzinski,"Brodzinski, R.L.",4,1990,1990,1990-07,,,"Nucl. Instrum. Meth. A 292, 337-342 (1990)",Further reduction of radioactive backgrounds in ultrasensitive germanium spectrometers,36,25,36,1.0,article,"Brodzinski, R L, H. S. Miley, J. H. Reeves, and F. T. Avignone (1990), “Further reduction of radioactive backgrounds in ultrasensitive germanium spectrometers,” Nucl. Instrum. Meth. A 292, 337-342."
U0634,B32,AGOSTINI,NAO,A211,OK,,305784,Caurier,"Caurier, E.",3,1990,1990,1990,,,"Phys. Lett. B 252, 13-17 (1990)",A Full 0 h-bar omega description of the 2 neutrino beta beta decay of Ca-48,127,111,36,3.53,article,"Caurier, E, A. P. Zuker, and A. Poves (1990), “A Full 0~ω description of the 2νββ decay of 48 Ca,” Phys. Lett. B 252, 13-17."
U0636,B32,AGOSTINI,NAO,A405,OK,,296759,Harvey,"Harvey, J.A.",2,1990,1990,1990-03,,,"Phys. Rev. D 42, 3344-3349 (1990)",Cosmological Baryon and Lepton Number in the Presence of Electroweak Fermion Number Violation,1066,1066,36,29.61,article,"Harvey, J A, and M. S. Turner (1990), “Cosmological baryon and lepton number in the presence of electroweak fermion number violation,” Phys. Rev. D 42, 3344-3349."
U0638,B32,GONZALEZ-GARCIA,NAO,G081,OK,,299432,D. Casper et al.,"Casper, D.",,1991,1990,1990-09,,,"Phys. Rev. Lett. 66, 2561 (1991)",Measurement of atmospheric neutrino composition with IMB-3,840,790,36,23.33,article,"D. Casper et al., Phys. Rev. Lett. 66, 2561 (1991)."
U0003,B01,GONZALEZ-GARCIA,NAO,G008,OK,,322331,A. Pilaftsis,"Pilaftsis, A.",1,1992,1991,1991-12,hep-ph/9901206,10.1007/BF01482590,"Z.Phys. C55, 275",Radiatively induced neutrino masses and large Higgs neutrino couplings in the standard model with Majorana fields,465,407,35,13.29,,"A. Pilaftsis, Z. Phys. C55, 275 (1992), [hep-ph/9901206]."
U0639,B32,AGOSTINI,NAO,A296,OK,,320078,Ejiri,"Ejiri, H.",,1991,1991,1991,,,"Phys. Lett. B 258, 17-23 (1991)",Double beta decays of Mo-100,132,99,35,3.77,article,"Ejiri, H, et al. (1991), “Double beta decays of Mo-100,” Phys. Lett. B 258, 17-23."
U0640,B32,AGOSTINI,NAO,A304,OK,,323588,Elliott,"Elliott, S.R.",4,1991,1991,1991,,,"J. Phys. G 17, S145-S153 (1991)",The Double beta decay spectrum of Mo-100 as measured with a TPC,49,44,35,1.4,article,"Elliott, S R, M. K. Moe, M. A. Nelson, and M. A. Vient (1991), “The Double beta decay spectrum of Mo-100 as measured with a TPC,” J. Phys. G 17, S145-S153."
U0641,B33,AGOSTINI,NAO,A542;A543,OK,,324833,Moe,"Moe, M.K.",1,1991,1991,1991,,,"Phys. Rev. C44, 931-934",New approach to the detection of neutrinoless double beta decay,81,81,35,2.31,article,"Moe, M K (1991a), “New approach to the detection of neutrinoless double beta decay,” Phys. Rev. C44, 931-934, [,1019(1991)]."
U0642,B33,GONZALEZ-GARCIA,NAO,G084,OK,,332360,K. S. Hirata et al. (Kamiokande-II),"Hirata, K.S. et al.",,1992,1992,1992-01,,,"Phys. Lett. B280, 146",Observation of a small atmospheric muon-neutrino / electron-neutrino ratio in Kamiokande,1196,1125,34,35.18,article,"K. S. Hirata et al. (Kamiokande-II), Phys. Lett. B280, 146 (1992)."
U0643,B33,GONZALEZ-GARCIA,NAO,G003,OK,,383968,C. W. Kim and A. Pevsner,"Kim, C.W. and Pevsner, A.",2,1993,1993,1993,,,"Contemp. Concepts Phys. 8, 1",Neutrinos in physics and astrophysics,22,22,33,0.67,book,"C. W. Kim and A. Pevsner, Contemp. Concepts Phys. 8, 1 (1993)."
U0644,B33,AGOSTINI,NAO,A220,OK,,370205,Chuo,"Chung, W.T., Wildenthal, B.H. and Brown, B.A.",3,1993,1993,1993-01,,,"Phys. Rev. C 47, 163",Gamow-Teller beta-decay rates for A <= 18 nuclei,159,138,33,4.82,article,"Chuo, W T, B. H. Wildenthal, and B. A. Brown (1993), “,” Phys. Rev. C 47, 163."
U0645,B33,AGOSTINI,NAO,A739,NAO_ENCONTRADO,,,Zeldovich,"Zeldovich, Y.B., Jackson, E. and Granik, A.",3,1993,,,,,"Selected Works of Yakov Borisovich Zeldovich, Vol. II (Princeton University Press), pp. 56-61",On the theory of elementary particles.: Conservation of the nuclear charge and a possible new type of v-particles,,,33,,book chapter,"Zeldovich, Y B, E. Jackson, and A. Granik (1993), “On the theory of elementary particles.: Conservation of the nuclear charge and a possible new type of v-particles,” in Selected Works of Yakov Borisovich Zeldovich, Volume II: Particlies, Nuclei, and the Universe (Princeton University Press) pp. 56-61."
U0004,B01,AGOSTINI,NAO,A121,OK,,371451,Bahcall,"Bahcall, J.N.",1,1994,1994,1994-01,astro-ph/9401024,10.1103/PhysRevD.49.3923,"Phys.Rev. D49, 3923",The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,83,75,32,2.59,,"Bahcall, J N (1994), “The Be-7 solar neutrino line: A Reflection of the central temperature distribution of the sun,” Phys. Rev. D 49, 3923-3945, arXiv:astro-ph/9401024."
U0646,B33,AGOSTINI,NAO,A551,OK,,386231,Muto,"Muto, K.",1,1994,1994,1994,,,"Nucl. Phys. A 577, 415C-420C",Neutrinoless double beta decay beyond closure approximation,10,10,32,0.31,article,"Muto, K (1994), “Neutrinoless double beta decay beyond closure approximation,” Nucl. Phys. A 577, 415C-420C."
U0647,B33,GONZALEZ-GARCIA,NAO,G085,OK,,375027,Y. Fukuda et al. (Kamiokande),"Fukuda, Y. et al.",,1994,1994,1994-06,,,"Phys. Lett. B335, 237",Atmospheric muon-neutrino / electron-neutrino ratio in the multiGeV energy range,1401,1289,32,43.78,article,"Y. Fukuda et al. (Kamiokande), Phys. Lett. B335, 237 (1994)."
U0651,B33,AGOSTINI,NAO,A238,OK,,380757,Cousins,"Cousins, R.D.",1,1995,1994,1994-09,,,"Am. J. Phys. 63, 398",Why isn't every physicist a Bayesian?,149,147,32,4.66,article,"Cousins, R D (1995), “Why isn’t every physicist a Bayesian?” Am. J. Phys. 63, 398."
U0654,B33,AGOSTINI,NAO,A249,OK,,377498,Dassie,"Dassie, D. et al.",,1995,1994,1994-06,,,"Phys. Rev. D 51, 2090-2100",Two neutrino double beta decay measurement of Mo-100,106,59,32,3.31,article,"Dassie, D, et al. (NEMO) (1995), “Two neutrino double beta decay measurement of Mo-100,” Phys. Rev. D 51, 2090- 2100."
U0804,B41,AGOSTINI,NAO,A471,OK,,383846,van Kolck,van Kolck,1,1994,1994,1994-06-01,,,"Phys. Rev. C 49, 2932-2941",Few nucleon forces from chiral Lagrangians,637,595,32,19.91,article,"van Kolck, U (1994), “Few nucleon forces from chiral Lagrangians,” Phys. Rev. C 49, 2932-2941."
U0007,B01,GONZALEZ-GARCIA,NAO,G218,OK,,394094,J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia,"Gomez-Cadenas, J.J.",2,1996,1995,1995-04,hep-ph/9504246,10.1007/s002880050189,"Z.Phys. C71, 443",Future tau-neutrino oscillation experiments and present data,149,136,31,4.81,,"J. J. Gomez-Cadenas and M. C. Gonzalez-Garcia, Z. Phys. C71, 443 (1996), [hep-ph/9504246]."
U0008,B01,AGOSTINI,NAO,A456,OK,,400614,Kajantie,"Kajantie, K.",4,1996,1995,1995-10,hep-lat/9510020,10.1016/0550-3213(96)00052-1,"Nucl.Phys. B466, 189",The Electroweak phase transition: A Nonperturbative analysis,633,581,31,20.42,,"Kajantie, K, M. Laine, K. Rummukainen, and M. E. Shaposhnikov (1996), “The Electroweak phase transition: A Nonperturbative analysis,” Nucl. Phys. B 466, 189-258, arXiv:hep-lat/9510020."
U0648,B33,AGOSTINI,NAO,A072,OK,,394879,Ambrosio,"Ambrosio, M. et al.",,1995,1995,1995-02,,,"Phys. Rev. D 52, 3793-3802",Vertical muon intensity measured with MACRO at the Gran Sasso Laboratory,261,218,31,8.42,article,"Ambrosio, M, et al. (MACRO) (1995), “Vertical muon intensity measured with MACRO at the Gran Sasso Laboratory,” Phys. Rev. D 52, 3793-3802."
U0649,B33,AGOSTINI,NAO,A091,OK,,404358,Arnold,"Arnold, R. et al.",,1995,1995,1995,,,"JETP Lett. 61, 170-174",Observation of two neutrino double beta decay of Cd-116 with the tracking detector NEMO-2,18,9,31,0.58,article,"Arnold, R, et al. (NEMO) (1995), “Observation of two neutrino double beta decay of Cd-116 with the tracking detector NEMO-2,” JETP Lett. 61, 170-174."
U0650,B33,AGOSTINI,NAO,A132,OK,,399933,Barabash,"Barabash, A.S. et al.",,1995,1995,1995,,,"Phys. Lett. B 345, 408-413",Two neutrino double beta decay of Mo-100 to the first excited 0+ state in Ru-100,105,67,31,3.39,article,"Barabash, A S, et al. (1995), “Two neutrino double beta decay of Mo-100 to the first excited 0+ state in Ru-100,” Phys. Lett. B 345, 408-413."
U0652,B33,GONZALEZ-GARCIA,NAO,G107,OK,,1673806,D. Beavis et al. (E899) (1995),"Beavis, D. et al.",,1995,1995,1995-04-01,,,BNL-52459,Long Baseline Neutrino Oscillation Experiment at the AGS Approved by the HENPAC as AGS Experiment 889,47,40,31,1.52,report,"D. Beavis et al. (E899) (1995), BNL-52459."
U0653,B33,AGOSTINI,NAO,A248,OK,,400302,Danevich,"Danevich, F.A. et al.",8,1995,1995,1995,,,"Phys. Lett. B 344, 72-78",The Research of double beta decay of Cd-116 with enriched Cd-116WO-4 crystal scintillators,104,55,31,3.35,article,"Danevich, F A, A. Sh. Georgadze, V. V. Kobychev, B. N. Kropivyansky, V. N. Kuts, A. S. Nikolaiko, V. I. Tretyak, and Yu. Zdesenko (1995), “The Research of double beta decay of Cd-116 with enriched Cd-116WO-4 crystal scintillators,” Phys. Lett. B 344, 72-78."
U0655,B33,AGOSTINI,NAO,A297,OK,,404362,Ejiri,"Ejiri, H. et al.",,1995,1995,1995,,,"J. Phys. Soc. Jap. 64, 339-343",Double beta decays of Cd-116,53,34,31,1.71,article,"Ejiri, H, et al. (1995), “Double beta decays of Cd-116,” J. Phys. Soc. Jap. 64, 339-343."
U0656,B33,AGOSTINI,NAO,A441,OK,,2735458,Irwin,"Irwin, K.D.",1,1995,1995,1995-04-10,,10.1063/1.113674,Applied Physics Letters 66 (15),An application of electrothermal feedback for high resolution cryogenic particle detection,229,203,31,7.39,article,"Irwin, KD (1995), “An application of electrothermal feedback for high resolution cryogenic particle detection,” Applied Physics Letters 66 (15), 10.1063/1.113674."
U0657,B33,GONZALEZ-GARCIA,NAO,G082,OK,,378141,K. Daum et al. (Frejus),"Daum, K. et al.",,1995,1995,1994,,,"Z. Phys. C66, 417",Determination of the atmospheric neutrino spectra with the Frejus detector,427,404,31,13.77,article,"K. Daum et al. (Frejus), Z. Phys. C66, 417 (1995)."
U0658,B33,AGOSTINI,NAO,A597,OK,,406729,Poves,"Poves, A., Bahukutumbi, R.P., Langanke, K. and Vogel, P.",4,1995,1995,1995,,,"Phys. Lett. B 361, 1-4",Double beta decay of Ca-48 revisited,31,27,31,1.0,article,"Poves, A, R. P. Bahukutumbi, K. Langanke, and P. Vogel (1995), “Double beta decay of 48 Ca revisited,” Phys. Lett. B 361, 1-4."
U0005,B01,AGOSTINI,NAO,A122,OK,,418092,Bahcall,"Bahcall, J.N.",6,1996,1996,1996-01,nucl-th/9601044,10.1103/PhysRevC.54.411,"Phys.Rev. C54, 411",Standard neutrino spectrum from B-8 decay,279,230,30,9.3,,"Bahcall, J N, E. Lisi, D. E. Alburger, L. De Braeckeleer, S. J. Freedman, and J. Napolitano (1996), “Standard neutrino spectrum from B-8 decay,” Phys. Rev. C 54, 411-422, arXiv:nucl-th/9601044."
U0006,B01,AGOSTINI,NAO,A127,OK,,421580,Balysh,"Balysh, A.",10,1996,1996,1996-08,nucl-ex/9608001,10.1103/PhysRevLett.77.5186,"Phys.Rev.Lett. 77, 5186",Double beta decay of Ca-48,112,105,30,3.73,,"Balysh, A, A. S. De Silva, V. I. Lebedev, K. Lou, M. K. Moe, M. A. Nelson, A. Piepke, A. Pronsky, M. A. Vient, and P. Vogel (1996), “Double beta decay of 48 Ca,” Phys. Rev. Lett. 77, 5186-5189, arXiv:nucl-ex/9608001."
U0009,B01,AGOSTINI,NAO,A560,OK,,419885,Nilles,"Nilles, H.P.",2,1997,1996,1996-05,hep-ph/9606388,10.1016/S0550-3213(96)00511-1,"Nucl.Phys. B484, 33","Supersymmetric neutrino masses, R symmetries, and the generalized mu problem",225,217,30,7.5,,"Nilles, H-P, and N. Polonsky (1997), “Supersymmetric neutrino masses, r symmetries, and the generalized µ problem,” Nucl.Phys.B 484, 33-62, arXiv:hep-ph/9606388."
U0659,B33,AGOSTINI,NAO,A092,OK,,432186,Arnold,"Arnold, R. et al.",,1996,1996,1996,,,"Z. Phys. C 72, 239-247",Double-beta decay of Cd-116,86,38,30,2.87,article,"Arnold, R, et al. (NEMO) (1996), “Double-beta decay of Cd- 116,” Z. Phys. C 72, 239-247."
U0660,B33,GONZALEZ-GARCIA,NAO,G052,OK,,424743,Y. Fukuda et al. (Kamiokande),"Fukuda, Y. et al.",,1996,1996,1996-08,,,"Phys. Rev. Lett. 77, 1683",Solar neutrino data covering solar cycle 22,1309,1241,30,43.63,article,"Y. Fukuda et al. (Kamiokande), Phys. Rev. Lett. 77, 1683 (1996)."
U0661,B34,AGOSTINI,NAO,A160,OK,,425602,Bernard,"Bernard, V., Kaiser, N. and Meissner, U.-G.",3,1997,1996,1996-11,,,"Nucl. Phys. A 615, 483-500",Aspects of chiral pion - nucleon physics,319,216,30,10.63,article,"Bernard, V, N. Kaiser, and U.-G. Meissner (1997), “Aspects of chiral pion - nucleon physics,” Nucl. Phys. A 615, 483- 500."
U0924,B48,AGOSTINI,NAO,A520,OK,,417110,Martı́nez-Pinedo,"Martı́nez-Pinedo, G",4,1996,1996,1996-03,nucl-th/9603039,,"Phys. Rev. C 53, R2602",Effective $g_A$ in the pf shell,261,218,30,8.7,article,"Martı́nez-Pinedo, G, A. Poves, E. Caurier, and A. P. Zuker (1996), “Effective gA in the pf shell,” Phys. Rev. C 53, R2602, arXiv:nucl-th/9603039 [nucl-th]."
U0014,B01,AGOSTINI,NAO,A691,OK,,448633,Vissani,"Vissani, F.",1,1998,1997,1997-09,hep-ph/9709409,10.1103/PhysRevD.57.7027,"Phys.Rev. D57, 7027",Do experiments suggest a hierarchy problem?,253,247,29,8.72,,"Vissani, F (1998a), “Do experiments suggest a hierarchy problem?” Phys. Rev. D 57, 7027-7030, arXiv:hep-ph/9709409."
U0662,B34,AGOSTINI,NAO,A177;A178,NAO_ENCONTRADO,,,Bolotnikov,"Bolotnikov, A. and Ramsey, B.",2,1997,,,,,"Nucl. Instrum. Meth. A 396 (3), 360-370",The spectroscopic properties of high-pressure xenon,,,29,,article,"Bolotnikov, A, and B. Ramsey (1997), “The spectroscopic properties of high-pressure xenon,” Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment 396 (3), 360-370."
U0664,B34,AGOSTINI,NAO,A093;A303,OK,,455112,Arnold,"Arnold, R. et al. (NEMO)",,1998,1997,1997-11,,,"Nucl. Phys. A 636, 209-223",Double beta decay of Se-82,87,48,29,3.0,article,"Arnold, R, et al. (NEMO) (1998), “Double beta decay of Se- 82,” Nucl. Phys. A 636, 209-223."
U0925,B48,AGOSTINI,NAO,A257,OK,,444289,De Silva,"De Silva, A S",4,1997,1997,1997-06,nucl-ex/9706005,,"Phys. Rev. C 56, 2451-2467",Double beta decays of Mo-100 and Nd-150,118,118,29,4.07,article,"De Silva, A S, M. K. Moe, M. A. Nelson, and M. A. Vient (1997), “Double beta decays of Mo-100 and Nd-150,” Phys. Rev. C 56, 2451-2467, arXiv:nucl-ex/9706005."
U0010,B01,AGOSTINI,NAO,A050,OK,,467841,Akhmedov,"Akhmedov, E.K.",3,1998,1998,1998-03,hep-ph/9803255,10.1103/PhysRevLett.81.1359,"Phys.Rev.Lett. 81, 1359",Baryogenesis via neutrino oscillations,715,705,28,25.54,,"Akhmedov, Evgeny K, V. A. Rubakov, and A. Yu. Smirnov (1998), “Baryogenesis via neutrino oscillations,” Phys. Rev. Lett. 81, 1359-1362, arXiv:hep-ph/9803255."
U0011,B01,GONZALEZ-GARCIA,NAO,G187,OK,,476727,C. Kim and U. Lee,"Kim, C.S.",2,1998,1998,1998-09,hep-ph/9809491,10.1016/S0370-2693(98)01382-3,"Phys.Lett. B444, 204",Comment on the possible electron neutrino excess in the Super-Kamiokande atmospheric neutrino experiment,25,24,28,0.89,,"C. Kim and U. Lee, Phys.Lett. B444, 204 (1998), [hep-ph/9809491]."
U0012,B01,GONZALEZ-GARCIA,NAO,G184,OK,,476573,M. Chizhov,"Chizhov, M.",3,1998,1998,1998-07,hep-ph/9810501,,,On the oscillation length resonance in the transitions of solar and atmospheric neutrinos crossing the earth core,134,104,28,4.79,,"M. Chizhov, M. Maris and S. Petcov (1998), SISSA-53-98-EP, [hep-ph/9810501]."
U0013,B01,GONZALEZ-GARCIA,NAO,G181,OK,,470272,S. Petcov,"Petcov, S.T.",1,1998,1998,1998-05,hep-ph/9805262,10.1016/S0370-2693(98)00742-4,"Phys.Lett. B434, 321",Diffractive-like (or parametric resonance-like?) enhancement of the earth (day-night) effect for solar neutrinos crossing the earth core,241,206,28,8.61,,"S. Petcov, Phys.Lett. B434, 321 (1998), [hep-ph/9805262]."
U0015,B01,AGOSTINI,NAO,A692,OK,,478230,Vissani,"Vissani, F.",1,1998,1998,1998-10,hep-ph/9810435,10.1088/1126-6708/1998/11/025,"JHEP 9811, 025","Large mixing, family structure, and dominant block in the neutrino mass matrix",101,84,28,3.61,,"Vissani, F (1998b), “Large mixing, family structure, and dominant block in the neutrino mass matrix,” JHEP 11, 025, arXiv:hep-ph/9810435."
U0016,B01,GONZALEZ-GARCIA,NAO,G053,OK,,470738,Y. Fukuda et al. (Super-Kamiokande),"Fukuda, Y.",126,1998,1998,1998-05,hep-ex/9805021,10.1103/PhysRevLett.81.1158,"Phys.Rev.Lett. 81, 1158",Measurements of the solar neutrino flux from Super-Kamiokande's first 300 days,1132,1053,28,40.43,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1158 (1998), [Erratum: Phys.Rev.Lett. 81, 4279 (1998)], [hep-ex/9805021]."
U0017,B01,GONZALEZ-GARCIA,NAO,G086,OK,,472711,Y. Fukuda et al. (Super-Kamiokande),"Fukuda, Y.",121,1998,1998,1998-07,hep-ex/9807003,10.1103/PhysRevLett.81.1562,"Phys.Rev.Lett. 81, 1562",Evidence for oscillation of atmospheric neutrinos,9245,8771,28,330.18,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1562 (1998), [hep-ex/9807003]."
U0018,B01,GONZALEZ-GARCIA,NAO,G183,OK,,470306,E. K. Akhmedov,"Akhmedov, E.K.",1,1999,1998,1998-05,hep-ph/9805272,10.1016/S0550-3213(98)00723-8,"Nucl.Phys. B538, 25",Parametric resonance of neutrino oscillations and passage of solar and atmospheric neutrinos through the earth,228,213,28,8.14,,"E. K. Akhmedov, Nucl.Phys. B538, 25 (1999), [hep-ph/9805272]."
U0019,B01,GONZALEZ-GARCIA,NAO,G182,OK,,474593,E. K. Akhmedov et al.,"Akhmedov, E.K.",4,1999,1998,1998-08,hep-ph/9808270,10.1016/S0550-3213(98)00825-6,"Nucl.Phys. B542, 3",Atmospheric neutrinos at Super-Kamiokande and parametric resonance in neutrino oscillations,219,178,28,7.82,,"E. K. Akhmedov et al., Nucl.Phys. B542, 3 (1999), [hep-ph/9808270]."
U0022,B02,GONZALEZ-GARCIA,NAO,G089,OK,,478786,V. D. Barger et al.,V.D. Barger,4,1999,1998,1998-10,astro-ph/9810121,10.1103/PhysRevLett.82.2640,"Phys.Rev.Lett.82,2640",Neutrino Decay as an Explanation of Atmospheric Neutrino Observations,232,217,28,8.29,article,"V. D. Barger et al., Phys. Rev. Lett. 82, 2640 (1999), [arXiv:astro-ph/9810121]."
U0665,B34,GONZALEZ-GARCIA,NAO,G045,OK,,471829,B. T. Cleveland et al.,"Cleveland, B.T. et al.",,1998,1998,1998-03,,,"Astrophys. J. 496, 505",Measurement of the solar electron neutrino flux with the Homestake chlorine detector,3143,3093,28,112.25,article,"B. T. Cleveland et al., Astrophys. J. 496, 505 (1998)."
U0666,B34,AGOSTINI,NAO,A230,OK,U0665,471829,Cleveland,"Cleveland, B.T., Daily, T., Davis, R. Jr., Distel, J.R., Lande, K., Lee, C.K., Wildenhain, P.S. and Ullman, J.",8,1998,1998,1998-03,,,"Astrophys. J. 496, 505-526",Measurement of the solar electron neutrino flux with the Homestake chlorine detector,3143,3093,28,112.25,article,"Cleveland, B T, Timothy Daily, Raymond Davis, Jr., James R. Distel, Kenneth Lande, C. K. Lee, Paul S. Wildenhain, and Jack Ullman (1998), “Measurement of the solar electron neutrino flux with the Homestake chlorine detector,” Astrophys. J. 496, 505-526."
U0667,B34,GONZALEZ-GARCIA,NAO,G002,OK,,487596,R. N. Mohapatra and P. B. Pal,"Mohapatra, R.N. and Pal, P.B.",2,1998,1998,1998,,,"World Sci. Lect. Notes Phys. 60, 1",Massive neutrinos in physics and astrophysics. Second edition,153,150,28,5.46,book,"R. N. Mohapatra and P. B. Pal, World Sci. Lect. Notes Phys. 60, 1 (1998), [World Sci. Lect. Notes Phys.72,1(2004)]."
U0668,B34,AGOSTINI,NAO,A660,OK,,475383,Suhonen,"Suhonen, J. and Civitarese, O.",2,1998,1998,1998,,,"Phys. Rept. 300, 123-214",Weak-interaction and nuclear-structure aspects of nuclear double beta decay,723,547,28,25.82,article,"Suhonen, J, and O. Civitarese (1998), Phys. Rep. 300, 124."
U0671,B34,GONZALEZ-GARCIA,NAO,G048,OK,,481586,W. Hampel et al. (GALLEX),"Hampel, W. et al. (GALLEX)",,1999,1998,1998-12,,,"Phys. Lett. B 447, 127-133",GALLEX solar neutrino observations: Results for GALLEX IV,2019,1951,28,72.11,article,"W. Hampel et al. (GALLEX), Phys. Lett. B447, 127 (1999)."
