uid,bloco,fontes,citado_por_ambas,ref_ids,status,duplicata_de,inspire_id,autor_ref,primeiro_autor,n_autores,ano_ref,ano_inspire,data_inspire,arxiv,doi,journal,titulo,citacoes,citacoes_sem_auto,idade_anos,citacoes_por_ano,tipo_doc,raw
U0766,B39,AGOSTINI,NAO,A463,OK,,1351845,Kishimoto,"Kishimoto, T.",4,2015,2015,2015-03-10,,,"PTEP 2015 (3), 033D03",Calcium isotope enrichment by means of multi-channel counter-current electrophoresis for the study of particle and nuclear physics,7,3,11,0.64,article,"Kishimoto, T, K. Matsuoka, T. Fukumoto, and S. Umehara (2015), “Calcium isotope enrichment by means of multichannel counter-current electrophoresis for the study of particle and nuclear physics,” PTEP 2015 (3), 033D03."
U0767,B39,AGOSTINI,NAO,A486,OK,,1340395,LaFerriere,"LaFerriere, B. D.",4,2015,2015,2015-03-01,,,"Nucl. Instrum. Meth. A 775, 93-98",A novel assay method for the trace determination of Th and U in copper and lead using inductively coupled plasma mass spectrometry,48,33,11,4.36,article,"LaFerriere, B D, T. C. Maiti, I. J. Arnquist, and E. W. Hoppe (2015), “A novel assay method for the trace determination of Th and U in copper and lead using inductively coupled plasma mass spectrometry,” Nucl. Instrum. Meth. A 775, 93-98."
U0769,B39,AGOSTINI,NAO,A588,OK,,1370582,Pirinen,"Pirinen, P.",2,2015,2015,2015-05-11,,,"Phys. Rev. C 91, 054309",Systematic approach to β and 2νββ decays of mass A=100–136 nuclei,120,85,11,10.91,article,"Pirinen, P, and J. Suhonen (2015), “Systematic approach to β and 2νββ decays of mass A =100-136 nuclei,” Phys. Rev. C 91, 054309."
U0770,B39,AGOSTINI,NAO,A654,OK,,1377603,Stefanik,"Stefanik, D.",4,2015,2015,2015-06-23,,,"Phys. Rev. C 92, 055502",Reexamining the light neutrino exchange mechanism of the 0νββ decay with left- and right-handed leptonic and hadronic currents,98,79,11,8.91,article,"Stefanik, D, R. Dvornicky, F. Šimkovic, and P. Vogel (2015), “Reexamining the light neutrino exchange mechanism of the 0νββ decay with left- and right-handed leptonic and hadronic currents,” Phys. Rev. C 92, 055502."
U0771,B39,AGOSTINI,NAO,A668,OK,,1389299,Takaki,"Takaki, M.",,2015,2015,2015,,,"JPS Conf. Proc. 6, 020038","Heavy-Ion Double-Charge Exchange Study via a 12C(18O,18Ne)12Be Reaction",14,13,11,1.27,proceedings,"Takaki, M, et al. (2015), “Heavy-Ion Double-Charge Exchange Study via a 12C(18O,18Ne)12Be Reaction,” Proceedings, 2nd Conference on Advances in Radioactive Isotope Science (ARIS2014): Tokyo, Japan, June 1-6, 2014, JPS Conf. Proc. 6, 020038."
U0773,B39,AGOSTINI,NAO,A685,NAO_ENCONTRADO,,,Uesaka,"Uesaka, T.",,2015,,,,,"RIKEN RIBF NP-PAC, NP1512-RIBF141",,,,11,,report,"Uesaka, T, et al. (2015), RIKEN RIBF NP-PAC , NP1512- RIBF141."
U0775,B39,AGOSTINI,NAO,A706,NAO_ENCONTRADO,,,Walz,"Walz, C.",,2015,,,,,"Nature 526, 406",Observation of the competitive double-gamma nuclear decay,,,11,,article,"Walz, C, et al. (2015), “Observation of the competitive double-gamma nuclear decay,” Nature 526, 406."
U0778,B39,AGOSTINI,NAO,A143,OK,,1394582,Baroni,"Baroni, A.",5,2016,2015,2015-09-23,,,"Phys. Rev. C 93 (1), 015501 [Erratum: Phys. Rev. C95,059901(2017)]",Nuclear Axial Currents in Chiral Effective Field Theory,95,67,11,8.64,article,"Baroni, A, L. Girlanda, S. Pastore, R. Schiavilla, and M. Viviani (2016), “Nuclear Axial Currents in Chiral Effective Field Theory,” Phys. Rev. C 93 (1), 015501, [Erratum: Phys. Rev.C95,no.5,059901(2017)]."
U0784,B40,AGOSTINI,NAO,A431,OK,,1402393,Horoi,Horoi,2,2016,2015,2015-11-02,,,"Phys. Rev. D 93, 113014",Analysis of mechanisms that could contribute to neutrinoless double-beta decay,38,19,11,3.45,article,"Horoi, M, and A. Neacsu (2016a), “Analysis of mechanisms that could contribute to neutrinoless double-beta decay,” Phys. Rev. D 93, 113014."
U0785,B40,AGOSTINI,NAO,A432,OK,,1404204,Horoi,Horoi,2,2016,2015,2015-11-11,,,"Phys. Rev. C 93, 024308",Shell model predictions for $^{124}$Sn double-$\beta$ decay,154,128,11,14.0,article,"Horoi, M, and A. Neacsu (2016b), “Shell model predictions for 124 Sn double-β decay,” Phys. Rev. C 93, 024308."
U0793,B40,AGOSTINI,NAO,A640,OK,,1410945,Sen’kov,Sen'kov,2,2016,2015,2015-12-18,,,"Phys. Rev. C 93 (4), 044334",Shell-model calculation of neutrinoless double-β decay of ⁷⁶Ge,59,48,11,5.36,article,"Sen’kov, R A, and M. Horoi (2016), “Shell-model calculation of neutrinoless double-β decay of 76 Ge,” Phys. Rev. C 93 (4), 044334."
U0947,B49,AGOSTINI,NAO,A579,OK,,1380604,Päs,"Päs, H.",2,2015,2015,2015-07-01,1507.00170,,"New J.Phys. 17, 115010",Neutrinoless Double Beta Decay,153,145,11,13.91,article,"Päs, H, and W. Rodejohann (2015), “Neutrinoless Double Beta Decay,” New J. Phys. 17 (11), 115010, arXiv:1507.00170 [hep-ph]."
U0949,B49,AGOSTINI,NAO,A519,OK,,1407146,Martı́n-Albo,"Martín-Albo, J.",,2016,2015,2015-11-30,1511.09246,,"JHEP 05, 159",Sensitivity of NEXT-100 to Neutrinoless Double Beta Decay,174,97,11,15.82,article,"Martı́n-Albo, J, et al. (NEXT) (2016), “Sensitivity of NEXT- 100 to Neutrinoless Double Beta Decay,” JHEP 05, 159, arXiv:1511.09246 [physics.ins-det]."
U0950,B49,AGOSTINI,NAO,A534,OK,,1400604,Menéndez,"Menéndez, J.",5,2016,2015,2015-10-23,,,"Phys.Rev.C 93, 014305",Testing the importance of collective correlations in neutrinoless ββ decay,49,27,11,4.45,article,"Menéndez, J, N. Hinohara, J. Engel, G. Martı́nez-Pinedo, and T. R. Rodréguez (2016), “Testing the importance of collective correlations in neutrinoless ββ decay,” Phys. Rev. C 93, 014305."
U0213,B11,GONZALEZ-GARCIA,NAO,G043,OK,,1417062,A. Serenelli,Serenelli,1,2016,2016,2016-01-26,1601.07179,,"Eur.Phys.J.A,52,78",Alive and well: a short review about standard solar models,77,74,10,7.7,article,"A. Serenelli, Eur. Phys. J. A52, 4, 78 (2016), [arXiv:1601.07179]."
U0214,B11,AGOSTINI,NAO,A001,OK,,1471703,Aalbers,Aalbers,"et al. (N/D, DARWIN)",2016,2016,2016-06-22,1606.07001,,"JCAP,11,017",DARWIN: towards the ultimate dark matter detector,916,752,10,91.6,article,"Aalbers, J, et al. (DARWIN) (2016), “DARWIN: towards the ultimate dark matter detector,” JCAP 11, 017, arXiv:1606.07001 [astro-ph.IM]."
U0218,B11,AGOSTINI,NAO,A097,OK,,1472816,Arnold,Arnold,"et al. (N/D, NEMO-3)",2016,2016,2016-06-27,1606.08494,,"Phys.Rev.D,94,072003",Measurement of the 2vbb decay half-life of 150Nd and a search for 0vbb decay processes with the full exposure from the NEMO-3 detector,136,101,10,13.6,article,"Arnold, R, et al. (NEMO-3) (2016a), “Measurement of the 2νββ decay half-life of 150 Nd and a search for 0νββ decay processes with the full exposure from the NEMO-3 detector,” Phys. Rev. D 94 (7), 072003, arXiv:1606.08494 [hep-ex]."
