uid,bloco,metodo,fontes,ref_ids,autor,ano,arxiv,doi,journal,titulo,raw
U0803,B41,titulo,AGOSTINI,A447,Jiao,2017,,,,Neutrinoless double-beta decay matrix elements in large shell-model spaces with the generator-coordinate method,"Jiao, C F, J. Engel, and J. D. Holt (2017), “Neutrinoless double-beta decay matrix elements in large shell-model spaces with the generator-coordinate method,” Phys. Rev. C 96, 054310."
U0804,B41,titulo,AGOSTINI,A471,van Kolck,1994,,,,Few nucleon forces from chiral Lagrangians,"van Kolck, U (1994), “Few nucleon forces from chiral Lagrangians,” Phys. Rev. C 49, 2932-2941."
U0805,B41,titulo,AGOSTINI,A474,Kostensalo,2017,,,,Electron spectra in forbidden β decays and the quenching of the weak axial-vector coupling constant gA,"Kostensalo, J, M. Haaranen, and J. Suhonen (2017), “Electron spectra in forbidden β decays and the quenching of the weak axial-vector coupling constant gA,” Phys. Rev. C 95, 044313."
U0806,B41,titulo,AGOSTINI,A475,Kostensalo,2017,,,,gA -driven shapes of electron spectra of forbidden β decays in the nuclear shell model,"Kostensalo, J, and J. Suhonen (2017), “gA -driven shapes of electron spectra of forbidden β decays in the nuclear shell model,” Phys. Rev. C 96, 024317."
U0807,B41,titulo,AGOSTINI,A481,Krebs,2017,,,,Nuclear axial current operators to fourth order in chiral effective field theory,"Krebs, H, E. Epelbaum, and U. G. Meißner (2017), “Nuclear axial current operators to fourth order in chiral effective field theory,” Annals Phys. 378, 317-395."
U0808,B41,titulo,AGOSTINI,A490,Laubenstein,2017,,,,Screening of materials with high purity germanium detectors at the laboratori nazionali del gran sasso,"Laubenstein, M (2017), “Screening of materials with high purity germanium detectors at the laboratori nazionali del gran sasso,” International Journal of Modern Physics A 32, 1743002."
U0809,B41,titulo,AGOSTINI,A561,Nisi,2017,,,,ICP- MS measurement of natural radioactivity at LNGS,"Nisi, S, L. Copia, I. Dafinei, and M. L. Di Vacri (2017), “ICP- MS measurement of natural radioactivity at LNGS,” Int. J. Mod. Phys. A 32 (30), 1743003."
U0810,B41,titulo,AGOSTINI,A596,Poves,2017,,,,Shell model spectroscopy far from stability,"Poves, A (2017), “Shell model spectroscopy far from stability,” J. Phys. G 44, 084002."
U0811,B41,titulo,AGOSTINI,A598,Povinec,2017,,,,Background constrains of the SuperNEMO experiment for neutrinoless double beta-decay searches,"Povinec, P P (SuperNEMO) (2017), “Background constrains of the SuperNEMO experiment for neutrinoless double beta-decay searches,” Nucl. Instrum. Meth. A 845, 398- 403."
U0812,B41,titulo,AGOSTINI,A644,Shimizu,2017,,,,Monte Carlo shell model studies with massively parallel supercomputers,"Shimizu, N, T. Abe, M. Honma, T. Otsuka, T. Togashi, Y. Tsunoda, Y. Utsuno, and T. Yoshida (2017), “Monte Carlo shell model studies with massively parallel supercomputers,” Phys. Scripta 92, 063001."
U0813,B41,titulo,AGOSTINI,A647,Shirai,2017,,,,Results and future plans for the KamLAND-Zen experiment,"Shirai, J (KamLAND-Zen) (2017), “Results and future plans for the KamLAND-Zen experiment,” J. Phys. Conf. Ser. 888 (1), 012031."
U0814,B41,titulo,AGOSTINI,A653,Song,2017,,,,Nuclear matrix element of neutrinoless double-β decay: Relativity and short-range correlations,"Song, L S, J. M. Yao, P. Ring, and J. Meng (2017), “Nuclear matrix element of neutrinoless double-β decay: Relativity and short-range correlations,” Phys. Rev. C 95, 024305."
U0815,B41,titulo,AGOSTINI,A657,Stroberg,2017,,,,A nucleus-dependent valence-space approach to nuclear structure,"Stroberg, S R, A. Calci, H. Hergert, J. D. Holt, S. K. Bogner, R. Roth, and A. Schwenk (2017), “A nucleus-dependent valence-space approach to nuclear structure,” Phys. Rev. Lett. 118, 032502."
U0816,B41,titulo,AGOSTINI,A663,Suhonen,2017,,,,Value of the Axial-Vector Coupling Strength in β and ββ Decays: A Review,"Suhonen, J T (2017), “Value of the Axial-Vector Coupling Strength in β and ββ Decays: A Review,” Front.in Phys. 5, 55."
U0817,B41,titulo,AGOSTINI,A723,Wojcik,2017,,,,Review of highsensitivity Radon studies,"Wojcik, M, G. Zuzel, and H. Simgen (2017), “Review of highsensitivity Radon studies,” Int. J. Mod. Phys. A 32 (30), 1743004."
U0818,B41,titulo,AGOSTINI,A034,Agostini,2018,,,,Comprehensive measurement of pp-chain solar neutrinos,"Agostini, M, et al. (BOREXINO) (2018a), “Comprehensive measurement of pp-chain solar neutrinos,” Nature 562 (7728), 505-510."
U0819,B41,titulo,AGOSTINI,A106,Auerbach,2018,,,,Nuclear structure studies of double-charge-exchange Gamow-Teller strength,"Auerbach, N, and Bui Minh Loc (2018), “Nuclear structure studies of double-charge-exchange Gamow-Teller strength,” Phys. Rev. C 98, 064301."
U0820,B41,titulo,AGOSTINI,A203,Cappuzzello,2018,,,,The NUMEN project: NUclear Matrix Elements for Neutrinoless double beta decay,"Cappuzzello, F, et al. (2018), “The NUMEN project: NUclear Matrix Elements for Neutrinoless double beta decay,” Eur. Phys. J. A 54, 72."
U0821,B42,titulo,AGOSTINI,A222,Cirigliano,2018,,,,New Leading Contribution to Neutrinoless Double-β Decay,"Cirigliano, V, W. Dekens, J. De Vries, M. L. Graesser, E. Mereghetti, Saori Pastore, and Ubirajara Van Kolck (2018a), “New Leading Contribution to Neutrinoless Double-β Decay,” Phys. Rev. Lett. 120, 202001."
U0822,B42,titulo,AGOSTINI,A223,Cirigliano,2018,,,,Neutrinoless double-β decay in effective field theory: The light-Majorana neutrino-exchange mechanism,"Cirigliano, V, W. Dekens, E. Mereghetti, and A. Walker-Loud (2018b), “Neutrinoless double-β decay in effective field theory: The light-Majorana neutrino-exchange mechanism,” Phys. Rev. C 97, 065501."
U0823,B42,titulo,AGOSTINI,A225,Cirigliano,2018,,,,A neutrinoless double beta decay master formula from effective field theory,"Cirigliano, V, W. Dekens, J. de Vries, M. L. Graesser, and E. Mereghetti (2018c), “A neutrinoless double beta decay master formula from effective field theory,” JHEP 12, 097."
U0824,B42,doi,AGOSTINI,A229,Clemenza,2018,,10.1007/s10967-,,Low background neutron activation: a high sensitivity technique for long-lived radionuclides determination in rare events physics experiments,"Clemenza, M (2018), “Low background neutron activation: a high sensitivity technique for long-lived radionuclides determination in rare events physics experiments,” Journal of Radioanalytical and Nuclear Chemistry 10.1007/s10967- 018-6333-z."
U0825,B42,titulo,AGOSTINI,A244,Cruz-Torres,2018,,,,Short range correlations and the isospin dependence of nuclear correlation functions,"Cruz-Torres, R, A. Schmidt, G. A. Miller, L. B. Weinstein, N. Barnea, R. Weiss, E. Piasetzky, and O. Hen (2018), “Short range correlations and the isospin dependence of nuclear correlation functions,” Phys. Lett. B 785, 304-308."
U0826,B42,titulo,AGOSTINI,A263,Dell’Oro,2018,,,,Search for creation of electrons in lab,"Dell’Oro, S, S. Marcocci, and F. Vissani (2018a), “Search for creation of electrons in lab,” in Search for creation of electrons in lab, Vol. 1056, p. 012059."
U0827,B42,titulo,AGOSTINI,A267,Deppisch,2018,,,,Neutrinoless Double Beta Decay and the Baryon Asymmetry of the Universe,"Deppisch, F F, L. Graf, J. Harz, and W.-C. Huang (2018), “Neutrinoless Double Beta Decay and the Baryon Asymmetry of the Universe,” Phys. Rev. D 98, 055029."
U0828,B42,titulo,AGOSTINI,A316,Fang,2018,,,,"0νββ-decay nuclear matrix element for light and heavy neutrino mass mechanisms from deformed quasiparticle random-phase approximation calculations for 76 Ge, 82 Se, 130 Te, 136 Xe , and Nd with isospin restoration","Fang, D-L, A. Faessler, and F. Šimkovic (2018), “0νββ-decay nuclear matrix element for light and heavy neutrino mass mechanisms from deformed quasiparticle random-phase approximation calculations for 76 Ge, 82 Se, 130 Te, 136 Xe , and Nd with isospin restoration,” Phys. Rev. C 97, 045503."
