ref_id,fonte,autor,ano,arxiv,doi,journal,titulo,raw
G029,GONZALEZ-GARCIA,P. D. Mannheim,1988,,,Phys. Rev.|D37|1935,,"P. D. Mannheim, Phys. Rev. D37, 1935 (1988)."
G030,GONZALEZ-GARCIA,L. Landau,1932,,,Phys. Z. Sov.|2|46,,"L. Landau, Phys. Z. Sov. 2, 46 (1932)."
G031,GONZALEZ-GARCIA,C. Zener,1932,,,Proc. Roy. Soc. Lond.|A137|696,,"C. Zener, Proc. Roy. Soc. Lond. A137, 696 (1932)."
G032,GONZALEZ-GARCIA,E. Majorana,1932,,,Nuovo Cim.|9|43,,"E. Majorana, Nuovo Cim. 9, 43 (1932)."
G033,GONZALEZ-GARCIA,E. C. G. Stueckelberg,1932,,,Helv. Phys. Acta|5|369,,"E. C. G. Stueckelberg, Helv. Phys. Acta 5, 369 (1932)."
G034,GONZALEZ-GARCIA,T.-K. Kuo and J. T. Pantaleone,1989,,,Rev. Mod. Phys.|61|937,,"T.-K. Kuo and J. T. Pantaleone, Rev. Mod. Phys. 61, 937 (1989)."
G035,GONZALEZ-GARCIA,S. J. Parke,1986,,,Phys. Rev. Lett.|57|1275,,"S. J. Parke, Phys. Rev. Lett. 57, 1275 (1986)."
G036,GONZALEZ-GARCIA,W. C. Haxton,1986,,,Phys. Rev. Lett.|57|1271,,"W. C. Haxton, Phys. Rev. Lett. 57, 1271 (1986)."
G037,GONZALEZ-GARCIA,S. T. Petcov,1987,,,Phys. Lett. B|191|299,,"S. T. Petcov, Phys. Lett. B 191, 299 (1987)."
G038,GONZALEZ-GARCIA,S. P. Mikheyev and A. Y. Smirnov,1985,,,Sov. J. Nucl. Phys.|42|913,,"S. P. Mikheyev and A. Y. Smirnov, Sov. J. Nucl. Phys. 42, 913 (1985)."
G039,GONZALEZ-GARCIA,J. N. Bahcall et al.,1982,,,Rev. Mod. Phys.|54|767,,"J. N. Bahcall et al., Rev. Mod. Phys. 54, 767 (1982)."
G040,GONZALEZ-GARCIA,J. N. Bahcall,2005,astro-ph/0412440,,,,"J. N. Bahcall, A. M. Serenelli and S. Basu, Astrophys. J. 621, L85 (2005), [arXiv:astro-ph/0412440]."
G041,GONZALEZ-GARCIA,A. M. Serenelli,2011,1104.1639,,Astrophys. J.|743|24,,"A. M. Serenelli, W. C. Haxton and C. Pena-Garay, Astrophys. J. 743, 24 (2011), [arXiv:1104.1639]."
G042,GONZALEZ-GARCIA,F. L. Villante,2015,1410.2796,,Phys. Lett.|B742|279,,"F. L. Villante, Phys. Lett. B742, 279 (2015), [arXiv:1410.2796]."
G043,GONZALEZ-GARCIA,A. Serenelli,2016,1601.07179,,,,"A. Serenelli, Eur. Phys. J. A52, 4, 78 (2016), [arXiv:1601.07179]."
G044,GONZALEZ-GARCIA,R. Davis,1968,,,Phys. Rev. Lett.|20|1205,,"R. Davis, Jr., D. S. Harmer and K. C. Hoffman, Phys. Rev. Lett. 20, 1205 (1968)."
G045,GONZALEZ-GARCIA,B. T. Cleveland et al.,1998,,,Astrophys. J.|496|505,,"B. T. Cleveland et al., Astrophys. J. 496, 505 (1998)."
G046,GONZALEZ-GARCIA,C. Pena-Garay and A. Serenelli (2008),2008,0811.2424,,,,"C. Pena-Garay and A. Serenelli (2008), [arXiv:0811.2424]."
G047,GONZALEZ-GARCIA,J. N. Abdurashitov et al. (SAGE),2002,astro-ph/0204245,,J. Exp. Theor. Phys.|95|181,,"J. N. Abdurashitov et al. (SAGE), J. Exp. Theor. Phys. 95, 181 (2002), [Zh. Eksp. Teor. Fiz.122,211(2002)], [arXiv:astro-ph/0204245]."
G048,GONZALEZ-GARCIA,W. Hampel et al. (GALLEX),1999,,,Phys. Lett.|B447|127,,"W. Hampel et al. (GALLEX), Phys. Lett. B447, 127 (1999)."
G049,GONZALEZ-GARCIA,M. Altmann et al. (GNO),2005,hep-ex/0504037,,Phys. Lett.|B616|174,,"M. Altmann et al. (GNO), Phys. Lett. B616, 174 (2005), [hep-ex/0504037]."
G050,GONZALEZ-GARCIA,J. N. Abdurashitov et al. (SAGE),2009,0901.2200,,Phys. Rev.|C80|015807,,"J. N. Abdurashitov et al. (SAGE), Phys. Rev. C80, 015807 (2009), [arXiv:0901.2200]."
G051,GONZALEZ-GARCIA,K. S. Hirata et al. (Kamiokande-II),1989,,,Phys. Rev. Lett.|63|16,,"K. S. Hirata et al. (Kamiokande-II), Phys. Rev. Lett. 63, 16 (1989)."
G052,GONZALEZ-GARCIA,Y. Fukuda et al. (Kamiokande),1996,,,Phys. Rev. Lett.|77|1683,,"Y. Fukuda et al. (Kamiokande), Phys. Rev. Lett. 77, 1683 (1996)."
G053,GONZALEZ-GARCIA,Y. Fukuda et al. (Super-Kamiokande),1998,hep-ex/9805021,,Phys. Rev. Lett.|81|1158,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1158 (1998), [Erratum: Phys.Rev.Lett. 81, 4279 (1998)], [hep-ex/9805021]."
G054,GONZALEZ-GARCIA,K. Abe et al. (Super-Kamiokande),2016,1606.07538,,,,"K. Abe et al. (Super-Kamiokande), Phys. Rev. D 94, 5, 052010 (2016), [arXiv:1606.07538]."
G055,GONZALEZ-GARCIA,N. Vinyoles et al.,2017,1611.09867,,,,"N. Vinyoles et al., Astrophys. J. 835, 2, 202 (2017), [arXiv:1611.09867]."
G056,GONZALEZ-GARCIA,S. Fukuda et al. (Super-Kamiokande),2001,hep-ex/0103033,,Phys. Rev. Lett.|86|5656,,"S. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 86, 5656 (2001), [hep-ex/0103033]."
G057,GONZALEZ-GARCIA,H. H. Chen,1985,,,Phys. Rev. Lett.|55|1534,,"H. H. Chen, Phys. Rev. Lett. 55, 1534 (1985)."
G058,GONZALEZ-GARCIA,B. Aharmim et al. (SNO),2005,nucl-ex/0502021,,Phys. Rev.|C72|055502,,"B. Aharmim et al. (SNO), Phys. Rev. C72, 055502 (2005), [arXiv:nucl-ex/0502021]."
G059,GONZALEZ-GARCIA,S. Fukuda et al. (Super-Kamiokande),2002,hep-ex/0205075,,Phys. Lett.|B539|179,,"S. Fukuda et al. (Super-Kamiokande), Phys. Lett. B539, 179 (2002), [hep-ex/0205075]."
G060,GONZALEZ-GARCIA,Q. R. Ahmad et al. (SNO),2001,nucl-ex/0106015,,Phys. Rev. Lett.|87|071301,,"Q. R. Ahmad et al. (SNO), Phys. Rev. Lett. 87, 071301 (2001), [arXiv:nucl-ex/0106015]."
G061,GONZALEZ-GARCIA,S. Fukuda et al. (Super-Kamiokande),2001,hep-ex/0103032,,Phys. Rev. Lett.|86|5651,,"S. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 86, 5651 (2001), [hep-ex/0103032]."
G062,GONZALEZ-GARCIA,Q. R. Ahmad et al. (SNO),2002,nucl-ex/0204008,,Phys. Rev. Lett.|89|011301,,"Q. R. Ahmad et al. (SNO), Phys. Rev. Lett. 89, 011301 (2002), [arXiv:nucl-ex/0204008]."
G063,GONZALEZ-GARCIA,B. Aharmim et al. (SNO),2013,1109.0763,,Phys. Rev.|C88|025501,,"B. Aharmim et al. (SNO), Phys. Rev. C88, 025501 (2013), [arXiv:1109.0763]."
G064,GONZALEZ-GARCIA,J. Bergstrom et al.,2016,1601.00972,,JHEP|03|132,,"J. Bergstrom et al., JHEP 03, 132 (2016), [arXiv:1601.00972]."
G065,GONZALEZ-GARCIA,C. Arpesella et al. (Borexino),2008,0708.2251,,Phys. Lett. B|658|101,,"C. Arpesella et al. (Borexino), Phys. Lett. B 658, 101 (2008), [arXiv:0708.2251]."
G066,GONZALEZ-GARCIA,G. Bellini et al. (Borexino),2012,1110.3230,,Phys. Rev. Lett.|108|051302,,"G. Bellini et al. (Borexino), Phys. Rev. Lett. 108, 051302 (2012), [arXiv:1110.3230]."
G067,GONZALEZ-GARCIA,M. Agostini et al. (BOREXINO),2018,,,,,"M. Agostini et al. (BOREXINO), Nature 562, 7728, 505 (2018)."
G068,GONZALEZ-GARCIA,M. Agostini et al. (BOREXINO),2020,2006.15115,,Nature|587|577,,"M. Agostini et al. (BOREXINO), Nature 587, 577 (2020), [arXiv:2006.15115]."
G069,GONZALEZ-GARCIA,G. Bellini et al. (Borexino),2010,0808.2868,,Phys. Rev. D|82|033006,,"G. Bellini et al. (Borexino), Phys. Rev. D 82, 033006 (2010), [arXiv:0808.2868]."
G070,GONZALEZ-GARCIA,M. Agostini et al. (Borexino),2019,1707.09279,,,,"M. Agostini et al. (Borexino), Phys. Rev. D 100, 8, 082004 (2019), [arXiv:1707.09279]."
G071,GONZALEZ-GARCIA,M. Agostini et al. (Borexino),2020,1709.00756,,,,"M. Agostini et al. (Borexino), Phys. Rev. D 101, 6, 062001 (2020), [arXiv:1709.00756]."
G072,GONZALEZ-GARCIA,S. Abe et al. (KamLAND),2011,1106.0861,,Phys. Rev.|C84|035804,,"S. Abe et al. (KamLAND), Phys. Rev. C84, 035804 (2011), [arXiv:1106.0861]."
G073,GONZALEZ-GARCIA,A. Gando et al. (KamLAND),2015,1405.6190,,,,"A. Gando et al. (KamLAND), Phys. Rev. C92, 5, 055808 (2015), [arXiv:1405.6190]."
G074,GONZALEZ-GARCIA,M. Honda et al.,2015,1502.03916,,,,"M. Honda et al., Phys. Rev. D92, 2, 023004 (2015), [arXiv:1502.03916]."
G075,GONZALEZ-GARCIA,G. D. Barr et al.,2006,astro-ph/0611266,,Phys. Rev.|D74|094009,,"G. D. Barr et al., Phys. Rev. D74, 094009 (2006), [arXiv:astro-ph/0611266]."
G076,GONZALEZ-GARCIA,G. Battistoni et al.,2003,hep-ph/0207035,,Astropart. Phys.|19|269,,"G. Battistoni et al., Astropart. Phys. 19, 269 (2003), [Erratum: Astropart. Phys.19,291(2003)], [hep-ph/0207035]."
G077,GONZALEZ-GARCIA,J. Evans et al.,2017,1612.03219,,,,"J. Evans et al., Phys. Rev. D95, 2, 023012 (2017), [arXiv:1612.03219]."
G078,GONZALEZ-GARCIA,C. V. Achar et al.,1965,,,Phys. Lett.|18|196,,"C. V. Achar et al., Phys. Lett. 18, 196 (1965)."
G079,GONZALEZ-GARCIA,F. Reines et al.,1965,,,Phys. Rev. Lett.|15|429,,"F. Reines et al., Phys. Rev. Lett. 15, 429 (1965)."
G080,GONZALEZ-GARCIA,K. S. Hirata et al. (Kamiokande-II),1988,,,Phys. Lett. B|205|416,,"K. S. Hirata et al. (Kamiokande-II), Phys. Lett. B 205, 416 (1988)."
G081,GONZALEZ-GARCIA,D. Casper et al.,1991,,,Phys. Rev. Lett.|66|2561,,"D. Casper et al., Phys. Rev. Lett. 66, 2561 (1991)."
G082,GONZALEZ-GARCIA,K. Daum et al. (Frejus),1995,,,Z. Phys.|C66|417,,"K. Daum et al. (Frejus), Z. Phys. C66, 417 (1995)."
G083,GONZALEZ-GARCIA,M. Aglietta et al. (NUSEX),1989,,,Europhys. Lett.|8|611,,"M. Aglietta et al. (NUSEX), Europhys. Lett. 8, 611 (1989)."
G084,GONZALEZ-GARCIA,K. S. Hirata et al. (Kamiokande-II),1992,,,Phys. Lett.|B280|146,,"K. S. Hirata et al. (Kamiokande-II), Phys. Lett. B280, 146 (1992)."
G085,GONZALEZ-GARCIA,Y. Fukuda et al. (Kamiokande),1994,,,Phys. Lett.|B335|237,,"Y. Fukuda et al. (Kamiokande), Phys. Lett. B335, 237 (1994)."
G086,GONZALEZ-GARCIA,Y. Fukuda et al. (Super-Kamiokande),1998,hep-ex/9807003,,Phys. Rev. Lett.|81|1562,,"Y. Fukuda et al. (Super-Kamiokande), Phys. Rev. Lett. 81, 1562 (1998), [hep-ex/9807003]."
G087,GONZALEZ-GARCIA,M. Ambrosio et al. (MACRO),2001,hep-ex/0106049,,Phys. Lett.|B517|59,,"M. Ambrosio et al. (MACRO), Phys. Lett. B517, 59 (2001), [hep-ex/0106049]."
G088,GONZALEZ-GARCIA,M. C. Sanchez et al. (Soudan 2),2003,hep-ex/0307069,,Phys. Rev.|D68|113004,,"M. C. Sanchez et al. (Soudan 2), Phys. Rev. D68, 113004 (2003), [hep-ex/0307069]."
G089,GONZALEZ-GARCIA,V. D. Barger et al.,1999,astro-ph/9810121,,Phys. Rev. Lett.|82|2640,,"V. D. Barger et al., Phys. Rev. Lett. 82, 2640 (1999), [arXiv:astro-ph/9810121]."
G090,GONZALEZ-GARCIA,E. Lisi,2000,hep-ph/0002053,,Phys. Rev. Lett.|85|1166,,"E. Lisi, A. Marrone and D. Montanino, Phys. Rev. Lett. 85, 1166 (2000), [hep-ph/0002053]."
G091,GONZALEZ-GARCIA,Y. Ashie et al. (Super-Kamiokande),2004,hep-ex/0404034,,Phys. Rev. Lett.|93|101801,,"Y. Ashie et al. (Super-Kamiokande), Phys. Rev. Lett. 93, 101801 (2004), [hep-ex/0404034]."
G092,GONZALEZ-GARCIA,Z. Li et al. (Super-Kamiokande),2018,1711.09436,,,,"Z. Li et al. (Super-Kamiokande), Phys. Rev. D98, 5, 052006 (2018), [arXiv:1711.09436]."
G093,GONZALEZ-GARCIA,M. G. Aartsen et al. (IceCube),2019,1901.05366,,,,"M. G. Aartsen et al. (IceCube), Phys. Rev. D99, 3, 032007 (2019), [arXiv:1901.05366]."
G094,GONZALEZ-GARCIA,K. Abe et al. (Super-Kamiokande),2018,1710.09126,,,,"K. Abe et al. (Super-Kamiokande), Phys. Rev. D97, 7, 072001 (2018), [arXiv:1710.09126]."
G095,GONZALEZ-GARCIA,A. Albert et al. (ANTARES),2019,1812.08650,,JHEP|06|113,,"A. Albert et al. (ANTARES), JHEP 06, 113 (2019), [arXiv:1812.08650]."
G096,GONZALEZ-GARCIA,R. Abbasi et al. ((IceCube Collaboration)k,2025,2405.02163,,,,"R. Abbasi et al. ((IceCube Collaboration)k, IceCube), Phys. Rev. Lett. 134, 9, 091801 (2025), [arXiv:2405.02163]."
G097,GONZALEZ-GARCIA,M. G. Aartsen et al. (IceCube-Gen2),2021,2008.04323,,,,"M. G. Aartsen et al. (IceCube-Gen2), J. Phys. G 48, 6, 060501 (2021), [arXiv:2008.04323]."
G098,GONZALEZ-GARCIA,S. Adrian-Martinez et al. (KM3Net),2016,1601.07459,,,,"S. Adrian-Martinez et al. (KM3Net), J. Phys. G43, 8, 084001 (2016), [arXiv:1601.07459]."
G099,GONZALEZ-GARCIA,S. Aiello et al. (KM3NeT),2024,2408.07015,,JHEP|10|206,,"S. Aiello et al. (KM3NeT), JHEP 10, 206 (2024), [arXiv:2408.07015]."
G100,GONZALEZ-GARCIA,S. Ahmed et al. (ICAL),2017,1505.07380,,,,"S. Ahmed et al. (ICAL), Pramana 88, 5, 79 (2017), [arXiv:1505.07380]."
G101,GONZALEZ-GARCIA,K. Abe et al. (Hyper-Kamiokande) (2018),2018,1805.04163,,,,"K. Abe et al. (Hyper-Kamiokande) (2018), [arXiv:1805.04163]."
G102,GONZALEZ-GARCIA,B. Abi et al. (DUNE),2020,2002.02967,,,,"B. Abi et al. (DUNE), JINST 15, 08, T08008 (2020), [arXiv:2002.02967]."
G103,GONZALEZ-GARCIA,S. E. Kopp,2007,physics/0609129,,Phys. Rept.|439|101,,"S. E. Kopp, Phys. Rept. 439, 101 (2007), [arXiv:physics/0609129]."
G104,GONZALEZ-GARCIA,S. van der Meer (1961),1961,,,,,"S. van der Meer (1961), CERN-61-07."
G105,GONZALEZ-GARCIA,D. G. Michael et al. (MINOS),2008,0805.3170,,Nucl. Instrum. Meth. A|596|190,,"D. G. Michael et al. (MINOS), Nucl. Instrum. Meth. A 596, 190 (2008), [arXiv:0805.3170]."
G106,GONZALEZ-GARCIA,S. H. Ahn et al. (K2K),2001,hep-ex/0103001,,Phys. Lett. B|511|178,,"S. H. Ahn et al. (K2K), Phys. Lett. B 511, 178 (2001), [hep-ex/0103001]."
G107,GONZALEZ-GARCIA,D. Beavis et al. (E899) (1995),1995,,,,,"D. Beavis et al. (E899) (1995), BNL-52459."
G108,GONZALEZ-GARCIA,K. Abe et al. (T2K),2011,1106.1238,,Nucl. Instrum. Meth. A|659|106,,"K. Abe et al. (T2K), Nucl. Instrum. Meth. A 659, 106 (2011), [arXiv:1106.1238]."
G109,GONZALEZ-GARCIA,D. S. Ayres et al. (NOvA) (2007).,2007,,,,,D. S. Ayres et al. (NOvA) (2007).
G110,GONZALEZ-GARCIA,M. G. Catanesi et al. (HARP),2007,,,Nucl. Instrum. Meth.|A571|527,,"M. G. Catanesi et al. (HARP), Nucl. Instrum. Meth. A571, 527 (2007)."
G111,GONZALEZ-GARCIA,J. M. Paley et al. (MIPP),2014,1404.5882,,,,"J. M. Paley et al. (MIPP), Phys. Rev. D90, 3, 032001 (2014), [arXiv:1404.5882]."
G112,GONZALEZ-GARCIA,N. Abgrall et al. (NA61),2014,1401.4699,,,,"N. Abgrall et al. (NA61), JINST 9, P06005 (2014), [arXiv:1401.4699]."
G113,GONZALEZ-GARCIA,M. Pavin et al. (EMPHATIC),2022,2106.15723,,,,"M. Pavin et al. (EMPHATIC), Phys. Rev. D 106, 11, 112008 (2022), [arXiv:2106.15723]."
G114,GONZALEZ-GARCIA,N. Abgrall et al. (NA61/SHINE),2016,1510.02703,,,,"N. Abgrall et al. (NA61/SHINE), Eur. Phys. J. C 76, 2, 84 (2016), [arXiv:1510.02703]."
G115,GONZALEZ-GARCIA,N. Abgrall et al. (NA61/SHINE),2019,1808.04927,,,,"N. Abgrall et al. (NA61/SHINE), Eur. Phys. J. C 79, 2, 100 (2019), [arXiv:1808.04927]."
G116,GONZALEZ-GARCIA,H. Adhikary et al. (NA61/SHINE) (2023),2023,2306.02961,,,,"H. Adhikary et al. (NA61/SHINE) (2023), [arXiv:2306.02961]."
G117,GONZALEZ-GARCIA,M. H. Ahn et al. (K2K),2006,hep-ex/0606032,,Phys. Rev.|D74|072003,,"M. H. Ahn et al. (K2K), Phys. Rev. D74, 072003 (2006), [hep-ex/0606032]."
G118,GONZALEZ-GARCIA,P. Adamson et al. (MINOS),2014,1403.0867,,Phys. Rev. Lett.|112|191801,,"P. Adamson et al. (MINOS), Phys. Rev. Lett. 112, 191801 (2014), [arXiv:1403.0867]."
G119,GONZALEZ-GARCIA,P. Adamson et al. (MINOS+),2020,2006.15208,,,,"P. Adamson et al. (MINOS+), Phys. Rev. Lett. 125, 13, 131802 (2020), [arXiv:2006.15208]."
G120,GONZALEZ-GARCIA,N. Agafonova et al. (OPERA),2018,1804.04912,,,,"N. Agafonova et al. (OPERA), Phys. Rev. Lett. 120, 21, 211801 (2018), [Erratum: Phys. Rev. Lett.121,no.13,139901(2018)], [arXiv:1804.04912]."
G121,GONZALEZ-GARCIA,C. Rubbia et al.,2011,1106.0975,,,,"C. Rubbia et al., JINST 6, P07011 (2011), [arXiv:1106.0975]."
G122,GONZALEZ-GARCIA,K. Abe et al. (T2K),2011,1106.2822,,Phys. Rev. Lett.|107|041801,,"K. Abe et al. (T2K), Phys. Rev. Lett. 107, 041801 (2011), [arXiv:1106.2822]."
G123,GONZALEZ-GARCIA,K. Abe et al. (T2K),2014,1311.4750,,Phys. Rev. Lett.|112|061802,,"K. Abe et al. (T2K), Phys. Rev. Lett. 112, 061802 (2014), [arXiv:1311.4750]."
G124,GONZALEZ-GARCIA,K. Abe et al. (T2K),2023,2303.03222,,,,"K. Abe et al. (T2K), Eur. Phys. J. C 83, 9, 782 (2023), [arXiv:2303.03222]."
G125,GONZALEZ-GARCIA,P. Adamson et al. (NOvA),2017,1703.03328,,,,"P. Adamson et al. (NOvA), Phys. Rev. Lett. 118, 23, 231801 (2017), [arXiv:1703.03328]."
G126,GONZALEZ-GARCIA,M. A. Acero et al. (NOvA),2019,1906.04907,,,,"M. A. Acero et al. (NOvA), Phys. Rev. Lett. 123, 15, 151803 (2019), [arXiv:1906.04907]."
G127,GONZALEZ-GARCIA,M. A. Acero et al. (NOvA),2022,2108.08219,,,,"M. A. Acero et al. (NOvA), Phys. Rev. D 106, 3, 032004 (2022), [arXiv:2108.08219]."
G128,GONZALEZ-GARCIA,A. Aguilar-Arevalo et al. (LSND),2001,hep-ex/0104049,,Phys. Rev.|D64|112007,,"A. Aguilar-Arevalo et al. (LSND), Phys. Rev. D64, 112007 (2001), [hep-ex/0104049]."
G129,GONZALEZ-GARCIA,B. Armbruster et al. (KARMEN),2002,hep-ex/0203021,,Phys. Rev.|D65|112001,,"B. Armbruster et al. (KARMEN), Phys. Rev. D65, 112001 (2002), [hep-ex/0203021]."
G130,GONZALEZ-GARCIA,A. A. Aguilar-Arevalo et al. (MiniBooNE),2021,2006.16883,,,,"A. A. Aguilar-Arevalo et al. (MiniBooNE), Phys. Rev. D 103, 5, 052002 (2021), [arXiv:2006.16883]."
G131,GONZALEZ-GARCIA,M. Antonello et al. (MicroBooNE,2015,1503.01520,,,,"M. Antonello et al. (MicroBooNE, LAr1-ND, ICARUS-WA104) (2015), [arXiv:1503.01520]."
G132,GONZALEZ-GARCIA,P. Abratenko et al. (MicroBooNE),2022,2110.14054,,,,"P. Abratenko et al. (MicroBooNE), Phys. Rev. Lett. 128, 24, 241801 (2022), [arXiv:2110.14054]."
G133,GONZALEZ-GARCIA,P. Abratenko et al. (MicroBooNE),2023,2210.10216,,,,"P. Abratenko et al. (MicroBooNE), Phys. Rev. Lett. 130, 1, 011801 (2023), [arXiv:2210.10216]."
G134,GONZALEZ-GARCIA,S. Ajimura et al. (JSNS2),2021,2104.13169,,Nucl. Instrum. Meth. A|1014|165742,,"S. Ajimura et al. (JSNS2), Nucl. Instrum. Meth. A 1014, 165742 (2021), [arXiv:2104.13169]."
G135,GONZALEZ-GARCIA,F. Von Feilitzsch,1982,,,,,"F. Von Feilitzsch, A. A. Hahn and K. Schreckenbach, Phys. Lett. 118B, 162 (1982)."
G136,GONZALEZ-GARCIA,K. Schreckenbach et al.,1985,,,,,"K. Schreckenbach et al., Phys. Lett. 160B, 325 (1985)."
G137,GONZALEZ-GARCIA,A. A. Hahn et al.,1989,,,Phys. Lett.|B218|365,,"A. A. Hahn et al., Phys. Lett. B218, 365 (1989)."
G138,GONZALEZ-GARCIA,P. Vogel et al.,1981,,,Phys. Rev.|C24|1543,,"P. Vogel et al., Phys. Rev. C24, 1543 (1981)."
