ref_id,fonte,autor,ano,arxiv,doi,titulo,raw
A707,AGOSTINI,Wang,1942,,,A suggestion on the detection of the neutrino,"Wang, K C (1942), “A suggestion on the detection of the neutrino,” Phys. Rev. 61, 97-97."
A708,AGOSTINI,Wang,2018,,,Quenching of nuclear matrix elements for 0νββ decay by chiral two-body currents,"Wang, L-J, J. Engel, and J. M. Yao (2018), “Quenching of nuclear matrix elements for 0νββ decay by chiral two-body currents,” Phys. Rev. C 98 (3), 031301."
A709,AGOSTINI,Wang,2017,1703.01877,,First results on 76 Ge neutrinoless double beta decay from CDEX-1 experiment,"Wang, Li, et al. (CDEX) (2017), “First results on 76 Ge neutrinoless double beta decay from CDEX-1 experiment,” Sci. China Phys. Mech. Astron. 60 (7), 071011, arXiv:1703.01877 [hep-ex]."
A710,AGOSTINI,Wang,2019,,,Comparison between Variational Monte Carlo and Shell Model Calculations of Neutrinoless Double Beta Decay Matrix Elements in Light Nuclei,"Wang, X B, A. C. Hayes, J. Carlson, G. X. Dong, E. Mereghetti, S. Pastore, and R. B. Wiringa (2019), “Comparison between Variational Monte Carlo and Shell Model Calculations of Neutrinoless Double Beta Decay Matrix Elements in Light Nuclei,” Phys. Lett. B 798, 134974."
A711,AGOSTINI,Warburton,1988,,,First-forbidden beta decay near a = 40,"Warburton, E K, J. A. Becker, B. A. Brown, and D. J. Millener (1988), “First-forbidden beta decay near a = 40,” Ann. Phys. 187, 471."
A712,AGOSTINI,Warburton,2004,,,Ultra-low background alpha particle counter using pulse shape analysis,"Warburton, W K, B. Dwyer-McNally, M. Momayezi, and J. E. Wahl (2004), “Ultra-low background alpha particle counter using pulse shape analysis,” in IEEE Symposium Conference Record Nuclear Science 2004., Vol. 1, pp. 577- 581 Vol. 1."
A713,AGOSTINI,Weinberg,1979,,,Baryon and lepton nonconserving processes,"Weinberg, S (1979), “Baryon and lepton nonconserving processes,” Phys.Rev.Lett. 43, 1566-1570."
A714,AGOSTINI,Weinberg,1980,,,Varieties of baryon and lepton nonconservation,"Weinberg, S (1980), “Varieties of baryon and lepton nonconservation,” Phys.Rev.D 22, 1694."
A715,AGOSTINI,Weiss,2021,2112.08146,,Neutrinoless double-beta decay: combining quantum Monte Carlo and the nuclear shell model with the generalized contact formalism,"Weiss, Ronen, Pablo Soriano, Alessandro Lovato, Jaview Menendez, and R. B. Wiringa (2021), “Neutrinoless double-beta decay: combining quantum Monte Carlo and the nuclear shell model with the generalized contact formalism,” arXiv:2112.08146 [nucl-th]."
A716,AGOSTINI,Welliver,2021,,,,"Welliver, B (2021), Talk at APS-DNP 2021 Conference."
A717,AGOSTINI,Wick,1934,,,Sugli elementi radioattivi di F. Joliot e I. Curie,"Wick, G C (1934), “Sugli elementi radioattivi di F. Joliot e I. Curie,” Rendiconti dell’Accademia dei Lincei 19, 69-72."
A718,AGOSTINI,Wigner,1949,,,Invariance in physical theory,"Wigner, E P (1949), “Invariance in physical theory,” Proceedings of the American Philosophical Society 93 (7), 521-526."
A719,AGOSTINI,Wilczek,1979,,,Operator analysis of nucleon decay,"Wilczek, F, and A. Zee (1979), “Operator analysis of nucleon decay,” Phys.Rev.Lett. 43, 1571-1573."
A720,AGOSTINI,Wildenthal,1983,,,Predicted features of the beta decay of neutron-rich sdshell nuclei,"Wildenthal, B H, M. S. Curtin, and B. A. Brown (1983), “Predicted features of the beta decay of neutron-rich sdshell nuclei,” Phys. Rev. C 28, 1343-1366."
A721,AGOSTINI,Winslow,2012,1202.4733,,Characterizing Quantum-Dot-Doped Liquid Scintillator for Applications to Neutrino Detectors,"Winslow, L, and R. Simpson (2012), “Characterizing Quantum-Dot-Doped Liquid Scintillator for Applications to Neutrino Detectors,” JINST 7, P07010, arXiv:1202.4733 [physics.ins-det]."
A722,AGOSTINI,Wirth,2021,2105.05415,,Ab initio calculation of the contact operator contribution in the standard mechanism for neutrinoless double beta decay,"Wirth, R, J. M. Yao, and H. Hergert (2021), “Ab initio calculation of the contact operator contribution in the standard mechanism for neutrinoless double beta decay,” arXiv:2105.05415."
A723,AGOSTINI,Wojcik,2017,,,Review of highsensitivity Radon studies,"Wojcik, M, G. Zuzel, and H. Simgen (2017), “Review of highsensitivity Radon studies,” Int. J. Mod. Phys. A 32 (30), 1743004."
A724,AGOSTINI,Wu,1957,,,Experimental Test of Parity Conservation in β Decay,"Wu, C S, E. Ambler, R. W. Hayward, D. D. Hoppes, and R. P. Hudson (1957), “Experimental Test of Parity Conservation in β Decay,” Phys. Rev. 105, 1413-1414."
A725,AGOSTINI,Wulandari,2004,hep-ex/0312050,,Neutron flux underground revisited,"Wulandari, H, J. Jochum, W. Rau, and F. von Feilitzsch (2004), “Neutron flux underground revisited,” Astropart. Phys. 22, 313-322, arXiv:hep-ex/0312050."
A726,AGOSTINI,Xu,2017,1610.03886,,Solar Axion Search Technique with Correlated Signals from Multiple Detectors,"Xu, W, and S. R. Elliott (2017), “Solar Axion Search Technique with Correlated Signals from Multiple Detectors,” Astropart. Phys. 89, 39-50, arXiv:1610.03886 [hep-ex]. XUNDL, (2021), http://www.nndc.bnl.gov/ensdf/ensdf/ xundl.jsp."
A727,AGOSTINI,Yanagida,1979,,,Horizontal gauge symmetry and masses of neutrinos,"Yanagida, Y (1979), “Horizontal gauge symmetry and masses of neutrinos,” in Horizontal gauge symmetry and masses of neutrinos, Vol. 7902131, pp. 95-99."
A728,AGOSTINI,Yao,2020,1908.05424,,AbInitio Treatment of Collective Correlations and the Neutrinoless Double Beta Decay of Ca,"Yao, J M, B. Bally, J. Engel, R. Wirth, T. R. Rodrı́guez, and H. Hergert (2020), “AbInitio Treatment of Collective Correlations and the Neutrinoless Double Beta Decay of Ca,” Phys. Rev. Lett. 124, 232501, arXiv:1908.05424."
A729,AGOSTINI,Yao,2021,,,Abinitio benchmarks of neutrinoless double-β decay in light nuclei with a chiral Hamiltonian,"Yao, J M, A. Belley, R. Wirth, T. Miyagi, C. G. Payne, S. R. Stroberg, H. Hergert, and J. D. Holt (2021), “Abinitio benchmarks of neutrinoless double-β decay in light nuclei with a chiral Hamiltonian,” Phys. Rev. C 103, 014315, 2010.08609."
A730,AGOSTINI,Yao,2018,,,Generator-coordinate reference states for spectra and 0νββ decay in the in-medium similarity renormalization group,"Yao, J M, J. Engel, L. J. Wang, C. F. Jiao, and H. Hergert (2018), “Generator-coordinate reference states for spectra and 0νββ decay in the in-medium similarity renormalization group,” Phys. Rev. C 98, 054311."
A731,AGOSTINI,Yao,2022,2204.12971,,Ab initio studies of double Gamow- Teller transition and its correlation with neutrinoless double beta decay,"Yao, J M, I. Ginnett, A. Belley, T. Miyagi, R. Wirth, S. Bogner, J. Engel, H. Hergert, J. D. Holt, and S. R. Stroberg (2022a), “Ab initio studies of double Gamow- Teller transition and its correlation with neutrinoless double beta decay,” arXiv:2204.12971 [nucl-th]."
A732,AGOSTINI,Yao,2022,,,Beyondmean-field approaches for nuclear neutrinoless double beta decay in the standard mechanism,"Yao, J M, J. Meng, Y. F. Niu, and P. Ring (2022b), “Beyondmean-field approaches for nuclear neutrinoless double beta decay in the standard mechanism,” Prog. Part. Nucl. Phys. 126, 103965."
A733,AGOSTINI,Yao,2015,,,Systematic study of nuclear matrix elements in neutrinoless double-β decay with a beyond-mean-field covariant density functional theory,"Yao, J M, L. S. Song, K. Hagino, P. Ring, and J. Meng (2015), “Systematic study of nuclear matrix elements in neutrinoless double-β decay with a beyond-mean-field covariant density functional theory,” Phys. Rev. C 91, 024316."
A734,AGOSTINI,Yoshida,2009,,,Ultra-violet wavelength shift for undoped CaF 2 scintillation detector by two phase of liquid scintillator system in CANDLES,"Yoshida, S, T. Kishimoto, I. Ogawa, R. Hazama, S. Umehara, K. Matsuoka, D. Yokoyama, K. Ichihara, and Y. Tatewaki (2009), “Ultra-violet wavelength shift for undoped CaF 2 scintillation detector by two phase of liquid scintillator system in CANDLES,” Nucl. Instrum. Meth. A 601, 282-293."
